Scenario,Law,Similarity
" Nearly two we eks after a 73-year-old man was thrashed by three men during a parking quarrel in west Delhi's Subhash Nagar, he succumbed to his injuries on Thursday The victim was identified as Amar Singh, who was un- dergoing treatment in a hospi- tal. Police said the fight broke out among neighbours on No- vember 5 when the victim's son Abhishek Singh, who lives on the third floor with his fa- mily in Subhash Nagar, objec ted to a neighbour parking a car in front of the building. According to the victim's wife, Sonia, their neighbour Rajkumar Madan and his two sons attacked her hus- band and when her father-in- law, Amar Singh, intervened, they beat him up too on No- vember 5. The elderly man fell to the ground. He was admit- ted to the ICU. Sources said the dispute had been going on for a while, and matters came to a head that day. Police have arrested all three accused, Madan and his sons, Ayush and Shivam, Sources said the dispute had been going on for a while, and matters came to a head on November 5. Police have arrested all three accused, Madan and his sons Ayush and Shivam, from their residence from their residence. ","The Consumer Protection Act, 2019, offers consumer rights and redressal mechanisms for getting a refund or replacement. It does the following functions : (i) inquiring into violations of consumer rights, investigating and launching prosecution at the appropriate forum; (ii) passing orders to recall goods or withdraw services that are hazardous, reimbursement of the price paid, and discontinuation of the unfair trade practices, as defined in the Bill; (iii) issuing directions to the concerned trader/ manufacturer/ endorser/ advertiser/ publisher to either discontinue a false or misleading advertisement, or modify it; (iv) imposing penalties, and; (v) issuing safety notices to consumers against unsafe goods and services.",0
"An iron rod was anus when he objected to the verbal abuse by another labo urer and his associates in Khyala, west Delhi. inserted into a labourer's The 28-year-old factory la bourer from Bihar has told police that three people as saulted him on the night of November 12. ","The Motor Vehicles Act, 1956 (Section 181): stipulates the kind of licences needed and the prescribed age requirements to apply for them.The Act provides in detail the legislative provisions regarding licensing of drivers/conductors, registration of motor vehicles, control of motor vehicles through permits, special provisions relating to state transport undertakings, traffic regulation, insurance, liability, offences and penalties, etc.",0
A person is arrested for driving under the influence of alcohol after being stopped by the police while driving erratically.," IPC Section 337 (causing hurt) and IPC Section 304A - If a person, while driving under the influence of alcohol, causes an accident that results in the death of another person due to their negligent driving, they can be charged under this section. The punishment for this offense is imprisonment for a term which may extend to two years, or with fine, or with both. Punishment: 2 Years or Fine or Both",1
"A teenager, allegedly on a joyride with his friend, was responsible for Wednesday night's car crash that killed one person and injured nine others in Mayur Vihar Phase 3, police said on Thursday","IPC sections of 279 (rash driving or riding on a public way) -Whoever drives any vehicle, or rides, on any public way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both. - Punishment:6 Months or Fine or Both",1
"Two men were arrested on Thursday for allegedly selling fake mobile phones and cheating gullible customers. Ankit (23), a resident of Mathura, was sold two fake mobile phones at Old Lajpat Rai Market for Rs 26,000.  The complainant claimed that he was handed fake phones after he made the payment and was even threatened when he objected to it.","IPC - Sections 420 (Cheating) - Whoever cheats and thereby dishonestly induces the person deceived to deliver any property to any person, or to make, alter or destroy the whole or any part of a valuable security, or anything which is signed or sealed, and which is capable of being converted into a valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine - Punishment 7 years or fine ",1
"Two men were arrested on Thursday for allegedly selling fake mobile phones and cheating gullible customers. Ankit (23), a resident of Mathura, was sold two fake mobile phones at Old Lajpat Rai Market for Rs 26,000.  The complainant claimed that he was handed fake phones after he made the payment and was even threatened when he objected to it."," IPC section 467 (Forgery of valuable security)  - Whoever forges a document which purports to be a valuable security or a will, or an authority to adopt a son, or which purports to give authority to any person to make or transfer any valuable security, or to receive the principal, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ",1
" A businessman in Ghaziabad who suffered massive losses during the pandemic allegedly killed his wife and son with a kitchen knife and slit his own throat at home in Kavi Nagar on Thursday. In one of the notes scribbled down in Feb, he said he wanted to die because of his mounting debt. Even on Thursday he wrote a note, saying he had given upon the struggle. He asked his family members to for give him and said he would kill his wife and son.","IPC Section 302: Murder. Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine. Punishment - Death or Imprisonment for life",1
" Delhi Police has filed an FIR on a complaint of a lawyer against a Tamil Nadu minister for his alleged threatening remarks against Prime Minister Narendra Modi.The complainant alleged that at a public rally, the TN minister for rural industries, cottage indu stries, and small industries, had threatened PM. "," IPC sections 153 (Wantedly provocation with intent to cause riot - Punishment : 1 Year or 6 months imprisonment), 268 (public nuisance), 505 (statements conducing to public mischief-Punishment: 3 Years jail + fine or both or 5 years jail + fine) ",1
"A teenager, allegedly on a joyride with his friend, was responsible for Wednesday night's car crash that killed one person and injured nine others in Mayur Vihar Phase 3, police said on Thursday",IPC sections of 337 (causing hurt by act endangering life or personal safety of others - Punishment: 6 months jail or fine or both) and 304 (culpable homicide - Punishment : imprisonment for life or 10 years or fine or both) ,1
" Delhi Police has filed an FIR on a complaint of a lawyer against a Tamil Nadu minister for his alleged threatening remarks against Prime Minister Narendra Modi.The complainant alleged that at a public rally, the TN minister for rural industries, cottage indu stries, and small industries, had threatened PM. "," sections 503 (criminal intimidation), and 506 punishment for criminal intimidation) of IPC",1
"Four members of a family in new Delhi, including two children, were killed and 11 others injured after a massive fire broke out at a four-storey resi dential building in Geeta Co- lony's Shastri Nagar early Thursday morning. Accor ding to police, an electrical spark between wires may ha- ve caused the blaze.","IPC section 285 Neglibible conduct with respect to fire or combustible matter - Whoever does, with fire or any combustible matter, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any fire or any combustible matter in his possession as is sufficient to guard against any probable danger to human life from such fire or combustible matter, shall be Punishment - with imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.
",1
"Four men were booked for allegedly assaulting a visitor while dancing at a club in the Gurgaon city on Sunday night.In her twenties, the woman told police on Monday that she had gone to the club with her husband and had just hit the dance floor when the four men accused misbehaved with her.
This led to an argument, which soon escalated intoascuffle.
","IPC sections 323 (voluntarily causing hurt - Punishment : 1 year jail , fine or both), and 34 (When a criminal act is done by several persons in furtherance of the common intention of all, each of such persons is liable for that act in the same manner as if it were done by him alone)",1
"Four men were booked for allegedly assaulting a visitor while dancing at a club in the Gurgaon city on Sunday night.In her twenties, the woman told police on Monday that she had gone to the club with her husband and had just hit the dance floor when the four men accused misbehaved with her.
This led to an argument, which soon escalated intoascuffle.
","IPC section 354 (assault of criminal force to woman with intent to outrage her modesty) -Whoever assaults or uses criminal force to any woman, intending to outrage or knowing it to be likely that he will there by outrage her modesty1, shall be Puishment -  with imprisonment of either description for a term which shall not be less than one year but which may extend to five years, and shall also be liable to fine.",1
"Delhi Police's crime branch has unearthed a massive racket of manufacturing and selling of counterfeit cancer and chemotherapy drugs with the arrest of 7 persons. The syndicate, police said, played with people's lives by providing fake medicines with no active ingredients. Special commissioner seized spurious medicines with labels of seven international and two Indian brands worth Rs 4 crore, besides empty vials, packaging material and machinery from the accused.","IPC Section 274: Adulteration of drugs(Punishment- 6 months jail or fine or both), 275(Whoever, knowing any drug or medical preparation to have been adulterated in such a manner as to lessen its efficacy, to change its operation, or to render it noxious, sells the same, or offers or exposes it for sale, or issues it from any dispensary for medicinal purposes as unadulterated, or causes it to be used for medicinal purposes by any person not knowing of the adulteration punishment: imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both)",1
"Delhi Police's crime branch has unearthed a massive racket of manufacturing and selling of counterfeit cancer and chemotherapy drugs with the arrest of 7 persons. The syndicate, police said, played with people's lives by providing fake medicines with no active ingredients. Special commissioner seized spurious medicines with labels of seven international and two Indian brands worth Rs 4 crore, besides empty vials, packaging material and machinery from the accused.","IPC sections 415-422 - Cheating : Whoever cheats and thereby dishonestly induces the person deceived to deliver any property to any person, or to make, alter or destroy the whole or any part of a valuable security, or anything which is signed or sealed, and which is capable of being converted into a valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine - Punishment 7 years or fine ",1
"Delhi Police's crime branch has unearthed a massive racket of manufacturing and selling of counterfeit cancer and chemotherapy drugs with the arrest of 7 persons. The syndicate, police said, played with people's lives by providing fake medicines with no active ingredients. Special commissioner seized spurious medicines with labels of seven international and two Indian brands worth Rs 4 crore, besides empty vials, packaging material and machinery from the accused.","IPC Sections 17B: Prohibition of manufacture and sale of certain drugs and cosmetics, 18: Misbranded drugs, 27: Penalty for manufacture, sale, etc., of drugs or cosmetics in contravention of this ",1
" A court, while setting aside an order of a magisterial court sentencing a man on the charge of rash and negligent driving for causing an accident in 2013, has directed Delhi Police to keep barricades well-illuminated.","IPC sections of 279 (rash driving or riding on a public way) -Whoever drives any vehicle, or rides, on any public way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both. - Punishment:6 Months or Fine or Both",1
"On June 18, 2018, 45-year-old Qasim was killed and 62-year-old Samiudeen was assaulted by a mob that accused them of cow slaughter, which is banned in Uttar Pradesh.Qasim was attacked with a screwdriver and sickle in Bajera Khurd village by the mob. Post-mortem reports revealed that he had multiple bruises on his back, fractured ribs, and cuts on his shoulders, knees, abdomen and head. He had been accompanied by his friend Samiudeen who was also brutally assaulted. Samiudeen remained bedridden for months."," IPC sections 302(Murder. Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine. Punishment - Death or Imprisonment for life), 307(Whoever does any act with such intention or knowledge, and under such circumstances that, if he by that act caused death, he would be guilty of murder. Punishment: Imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; When any person offending under this section is under sentence of imprisonment for life, he may, if hurt is caused, be punished with death)",1
"On June 18, 2018, 45-year-old Qasim was killed and 62-year-old Samiudeen was assaulted by a mob that accused them of cow slaughter, which is banned in Uttar Pradesh.Qasim was attacked with a screwdriver and sickle in Bajera Khurd village by the mob. Post-mortem reports revealed that he had multiple bruises on his back, fractured ribs, and cuts on his shoulders, knees, abdomen and head. He had been accompanied by his friend Samiudeen who was also brutally assaulted. Samiudeen remained bedridden for months.","IPC Section 146(rioting) -Whenever force or violence is used by an unlawful assembly, or by any member thereof, in prosecution of the common object of such assembly, every member of such assembly is guilty of the offence of rioting.",1
"A man in his 20s has been arrested for allegedly abducting and sexually assaulting a 15- year-old girl, police said on Monday. The survivor has been rescued from UP. The accused, Deepak Yadav, a resident of south-east Delhi, lived in the same locality as the minor. ","Protection of Children from Sexual Offences Act (POCSO), 2012: This comprehensive law specifically addresses sexual offenses against children, making offenses like rape and assault of minors especially severe.",1
"A man in his 20s has been arrested for allegedly abducting and sexually assaulting a 15- year-old girl, police said on Monday. The survivor has been rescued from UP. The accused, Deepak Yadav, a resident of south-east Delhi, lived in the same locality as the minor. ","IPC Sections for 359(kidnapping), 340(wrongful confinement-Whoever wrongfully restrains any person in such a manner as to prevent that person from proceeding beyond certain circumscribing limits, is said “wrongfully to confine” that person )",1
"A man in his 20s has been arrested for allegedly abducting and sexually assaulting a 15- year-old girl, police said on Monday. The survivor has been rescued from UP. The accused, Deepak Yadav, a resident of south-east Delhi, lived in the same locality as the minor. ","IPC Section of 375 - Rape , 376 Punishment for Rape : Rigorous Imprisonment for 10 years to Imprisonment for Life + Fine, or 20 years + Fine or Natural-Life + Fine)",1
"A court recently con- victed and sentenced a woman to six months in jail for not filing an income tax return (ITR) on an income of Rs 2 crore.
The case pertains to a complaint filed by the Income Tax Office (ITO), alleging that a tax deducted at source (TDS) amounting to Rs 2 lakh was deducted against the receipt of Rs 2 crore made by the accused during the financial year 2013-14. However, no return of income for the assessment year 2014-15 was filed by the assessee or accused.","Section 276CC of the Income Tax Act, 1961, specifies that if a person willfully fails to furnish a return of income required under section 139(1) of the Income Tax Act within the time allowed, they can be punishable with rigorous imprisonment for a term which may extend to seven years and with fine.",1
"In the Burari apartment, the fire happened on Feb 27, when the Nigerians along with their associates were allegedly trying to make some drug. An explosion happened when a chemical was added to a drug. The apartment got engulfed in a fire. The victims were rushed to a hospital by their associates who later fled the sce ne after admitting them. 
","IPC  Section 27: Possession of Narcotic Drugs -  possession of small quantities for personal consumption of drugs is a punishable offence, and can attract a fine of ?10,000 and imprisonment of six months or both.
",1
"In the Burari apartment, the fire happened on Feb 27, when the Nigerians along with their associates were allegedly trying to make some drug. An explosion happened when a chemical was added to a drug. The apartment got engulfed in a fire. The victims were rushed to a hospital by their associates who later fled the sce ne after admitting them. 
","IPC Sections 20,22,27C - Punishment for Offenses",1
"In the Burari apartment, the fire happened on Feb 27, when the Nigerians along with their associates were allegedly trying to make some drug. An explosion happened when a chemical was added to a drug. The apartment got engulfed in a fire. The victims were rushed to a hospital by their associates who later fled the sce ne after admitting them. 
",IPC Section 36: Provides for the establishment of Special Courts for the speedy trial of offenses under the Narcotics Drugs and Psychotropic Substances Act,1
A Delhi Police team was assailed by a mob in a west Delhi locality on Sunday evening during a raid to ar rest criminal Mohammad Adil. A video showing the cops under attack surfaced on social media on Monday. Police had managed to whisk Adil away while arresting three people for the assault on the cops.,"IPC sections 186 (obstructing public servant in discharge of public functions) - Whoever voluntarily obstructs any public servant in the discharge of his public functions. Punishment: imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",1
A Delhi Police team was assailed by a mob in a west Delhi locality on Sunday evening during a raid to ar rest criminal Mohammad Adil. A video showing the cops under attack surfaced on social media on Monday. Police had managed to whisk Adil away while arresting three people for the assault on the cops.,"IPC Section 353 (assault or criminal force to deter public servant from discharge of his  - Whoever assaults or uses criminal force to any person being a public servant in the execution of his duty as such public servant, or with intent to prevent or deter that person from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by such person to the lawful discharge of his duty as such public servant. Punishment - imprisonment of either description for a term which may extend to two years, or with fine, or with both",1
"Delhi Police has received complaints from several banks that they received fake currency Indian no- tes (FICN) with a face value of over Rs 54 lakh between July and Dec last year. The highest fa- ce value of fake notes-Rs 16.3 lakh -was received at a private bank, followed by another private bank that received Rs 15.7 lakh in fake notes. These notes were primarily in the denomination of Rs 500. 
",IPC Section 489C (possession of forged or counterfeit currency notes or bank notes) ,1
"ATS on Saturday arrested a 31- year-old contract worker of Mazagon Dock Shipbuilders for allegedly sharing confidential information which are prohibited under OSA and received money as well from a Pak-based intelligence operative through social media, reports Mateen Hafeez."," Official Secrets Act (OSA), IPC section 120B- Criminal conspiracy to commit an offence, Punishable with death, imprisonment for life or rigorous imprisonment for a term of 2 Years or upwards",1
"In another brazen hit job purportedly ordered from abroad, armed shooters gunned down a liquor businessman outside a popular eatery in Murthal near Delhi on Sunday morning. The killing was captured on CCTV and showed the assailants dragging the trader out of his SUV and firing indiscriminately at him from point-blank range. The victim, Sunder Malik (35), tried to run away but was chased and pinned down by the shooters, reports Rajshekhar Jha.Later in the day, Portugal- based gangster Himanshu Bhau claimed responsibility for the killing. Interpol has issued a Red Notice to all member countries against Bhau.","IPC Sections 300, 302 (Murder) - Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine. Punishment - Death or Imprisonment for life",1
"In another brazen hit job purportedly ordered from abroad, armed shooters gunned down a liquor businessman outside a popular eatery in Murthal near Delhi on Sunday morning. The killing was captured on CCTV and showed the assailants dragging the trader out of his SUV and firing indiscriminately at him from point-blank range. The victim, Sunder Malik (35), tried to run away but was chased and pinned down by the shooters, reports Rajshekhar Jha.Later in the day, Portugal- based gangster Himanshu Bhau claimed responsibility for the killing. Interpol has issued a Red Notice to all member countries against Bhau.","IPC Section 307:Attempt to Murder - Whoever does any act with such intention or knowledge, and under such circumstances that, if he by that act caused death, he would be guilty of murder. Punishment: Imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; When any person offending under this section is under sentence of imprisonment for life, he may, if hurt is caused, be punished with death",1
"In another brazen hit job purportedly ordered from abroad, armed shooters gunned down a liquor businessman outside a popular eatery in Murthal near Delhi on Sunday morning. The killing was captured on CCTV and showed the assailants dragging the trader out of his SUV and firing indiscriminately at him from point-blank range. The victim, Sunder Malik (35), tried to run away but was chased and pinned down by the shooters, reports Rajshekhar Jha.Later in the day, Portugal- based gangster Himanshu Bhau claimed responsibility for the killing. Interpol has issued a Red Notice to all member countries against Bhau.","IPC sections 463-465-Forgery - Whoever commits forgery shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",1
"In another brazen hit job purportedly ordered from abroad, armed shooters gunned down a liquor businessman outside a popular eatery in Murthal near Delhi on Sunday morning. The killing was captured on CCTV and showed the assailants dragging the trader out of his SUV and firing indiscriminately at him from point-blank range. The victim, Sunder Malik (35), tried to run away but was chased and pinned down by the shooters, reports Rajshekhar Jha.Later in the day, Portugal- based gangster Himanshu Bhau claimed responsibility for the killing. Interpol has issued a Red Notice to all member countries against Bhau.","IPC sections 383-385 Exortion - Whoever, in order to the committing of extortion, puts any person in fear, or attempts to put any person in fear, of any injury, shall be punished. Punishment = imprisonment of either description for a term which may extend to two years, or with fine, or with both. ",1
"In another brazen hit job purportedly ordered from abroad, armed shooters gunned down a liquor businessman outside a popular eatery in Murthal near Delhi on Sunday morning. The killing was captured on CCTV and showed the assailants dragging the trader out of his SUV and firing indiscriminately at him from point-blank range. The victim, Sunder Malik (35), tried to run away but was chased and pinned down by the shooters, reports Rajshekhar Jha.Later in the day, Portugal- based gangster Himanshu Bhau claimed responsibility for the killing. Interpol has issued a Red Notice to all member countries against Bhau.","IPC sections 120A,B- Criminal Conspiracy to commit an offence, Punishable with death, imprisonment for life or rigorous imprisonment for a term of 2 Years or upwards",1
"In another brazen hit job purportedly ordered from abroad, armed shooters gunned down a liquor businessman outside a popular eatery in Murthal near Delhi on Sunday morning. The killing was captured on CCTV and showed the assailants dragging the trader out of his SUV and firing indiscriminately at him from point-blank range. The victim, Sunder Malik (35), tried to run away but was chased and pinned down by the shooters, reports Rajshekhar Jha.Later in the day, Portugal- based gangster Himanshu Bhau claimed responsibility for the killing. Interpol has issued a Red Notice to all member countries against Bhau.","IPC sections 415-422 - Cheating : Whoever cheats and thereby dishonestly induces the person deceived to deliver any property to any person, or to make, alter or destroy the whole or any part of a valuable security, or anything which is signed or sealed, and which is capable of being converted into a valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine - Punishment 7 years or fine ",1
A 59-year-old woman sleeping on a bed burnt to death after her mentally challenged son allegedly set the mattress on fire in their flat in a Sector 43 condominium in ?Gurgaon on Saturday night. The woman's husband was in Kolkata for some work when the flat went up in flames.,"Section 174 of the Code of Criminal Procedure (CrPC) - When the officer in charge of a police station or some other police officer specially empowered by the State Government in that behalf receives information that a person has committed suicide, or has been killed by another or by an animal or by machinery or by an accident, or has died under circumstances raising a reasonable suspicion that some other person has committed an offence, he shall immediately give intimation thereof to the nearest Executive Magistrate empowered to hold inquests, to make an investigation, and draw up a report of the apparent cause of death, describing such wounds, fractures, bruises, and other marks of injury as may be found on the body, and stating in what manner, or by what weapon or instrument (if any); such marks appear to have been inflicted.",1
"A 13-year-old boy died after a heavy concrete slab used in the construction of Delhi-Dehradun road project allegedly fell on him in Shahdara district's Geeta Colony.
The minor, Zumman, lived with his family in Geeta Colony. The heavy slabs were stored haphazardly, and the company does not guard the space. There was no response from National Highways Aut- hority of India (NHAI) in the accident.","IPC sections 287 (negligent conduct with respect to machinery) -Whoever does, with any machinery, any act so rashly or negligently as to endanger human life or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any machinery in his possession or under his care as is sufficient to guard against any probable danger to human life from such machinery, shall be punished. Punishment -  imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both",1
"A 13-year-old boy died after a heavy concrete slab used in the construction of Delhi-Dehradun road project allegedly fell on him in Shahdara district's Geeta Colony.
The minor, Zumman, lived with his family in Geeta Colony. The heavy slabs were stored haphazardly, and the company does not guard the space. There was no response from National Highways Aut- hority of India (NHAI) in the accident.","IPC Section 304 A (causing death by negligence) -Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished. Punishment = imprisonment of either description for a term which may extend to two years, or with fine, or with both.",1
Three people who posed as police officers have been arrested for robbing two men at Connaught Place on Friday night. The accused claimed that they were part of a special police team and robbed the duo. Three people were nabbed by police in the case on Saturday. ,IPC Section 170 (Impersonation as a public servant) - Personating a Public servant - Punishment = 2 Years or Fine or Both,1
Three people who posed as police officers have been arrested for robbing two men at Connaught Place on Friday night. The accused claimed that they were part of a special police team and robbed the duo. Three people were nabbed by police in the case on Saturday. ," IPC Section 397(Robber or Dacoity, with attempt to cause death or grievous hurt. Punishment = Rigorous Imprisonment for not less than 7 Years)",1
Three people who posed as police officers have been arrested for robbing two men at Connaught Place on Friday night. The accused claimed that they were part of a special police team and robbed the duo. Three people were nabbed by police in the case on Saturday. ,"IPC Section 392(Robbery - Punishment = Rigorous Imprisonment for 10 Years + Fine, If committed on the highway between sunset and sunrise = Rigorous Imprisonment for 14 Years + Fine)",1
Three people who posed as police officers have been arrested for robbing two men at Connaught Place on Friday night. The accused claimed that they were part of a special police team and robbed the duo. Three people were nabbed by police in the case on Saturday. ,"IPC sections 120A,B- Criminal Conspiracy to commit an offence, Punishable with death, imprisonment for life or rigorous imprisonment for a term of 2 Years or upwards",1
"A sub-inspector was seen kicking members of a congregation offering namaz in north Delhi's Inderlok on Friday.. A purported video of the incident was widely shared on social media, sparking outrage. The video shows a group of people offering namaz on a busy road. He is seen pushing them and asking them to move, then kicking and hitting
two or three people.","IPC Section 166,166A - Abuse of Power : Public servant disobeying direction under law Punishment = 6 months to 2 years + Fine",1
"A sub-inspector was seen kicking members of a congregation offering namaz in north Delhi's Inderlok on Friday.. A purported video of the incident was widely shared on social media, sparking outrage. The video shows a group of people offering namaz on a busy road. He is seen pushing them and asking them to move, then kicking and hitting
two or three people.",IPC Section 295A - Violation of Religious Rights: Maliciously insulting the religions or the religious beliefs of any class. Punishment = 3 Years or Fine or Both,1
"A sub-inspector was seen kicking members of a congregation offering namaz in north Delhi's Inderlok on Friday.. A purported video of the incident was widely shared on social media, sparking outrage. The video shows a group of people offering namaz on a busy road. He is seen pushing them and asking them to move, then kicking and hitting
two or three people.",IPC Sections 352-356 - Use of Excessive Force and Assault - Assault or criminal force in attempt to commit theft of property worn or carried by a person : Punishment = 2 Years or Fine or Both,1
" The chief of a mutt and his associate were arrested Thursday in Karnataka's Tumakuru district for allegedly sexually exploiting a woman when she was a minor three years ago. According to sources, Abhilash, the assistant alleged that one of the six suspects was an assistant to Swamiji. The seer had revealed his skin allergy to the assistant, who introduced the woman to him as a doctor. She made a video call asking the seer to show the affected areas, but instead recorded the call and later started demanding money from Swamiji, saying the gang would upload the said video on social media if he failed to do so. However, during the probe, police found The woman had approached Swamiji when she was 17, complaining of health issues. The seer and others allegedly blackmailed her and exploited her. ","Protection of Children from Sexual Offences Act (POCSO), 2012: This comprehensive law specifically addresses sexual offenses against children, making offenses like rape and assault of minors especially severe.",1
"Sachin Yaday, a a 30-year-old man who is a Rohini resident who has been working as driver, was allegedly speeding to pick up the vehicle owner's child from a college when victim Arun Kumar was returning home after picking up his granddaughter from a nursery school in Dwarka Sector 17. While Kumar succumbed to his injuries, the girl sustained grievous injuries.
"," IPC Section 337 (causing hurt) and IPC Section 304A - If a person, while driving under the influence of alcohol, causes an accident that results in the death of another person due to their negligent driving, they can be charged under this section. The punishment for this offense is imprisonment for a term which may extend to two years, or with fine, or with both. Punishment: 2 Years or Fine or Both",1
"Sachin Yaday, a a 30-year-old man who is a Rohini resident who has been working as driver, was allegedly speeding to pick up the vehicle owner's child from a college when victim Arun Kumar was returning home after picking up his granddaughter from a nursery school in Dwarka Sector 17. While Kumar succumbed to his injuries, the girl sustained grievous injuries.
","IPC sections of 279 (rash driving or riding on a public way) -Whoever drives any vehicle, or rides, on any public way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both. - Punishment:6 Months or Fine or Both",1
" A 71-year-old doc- in east Delhi fell victim to a sextortion gang. The scammers extorted Rs 8.6 lakh from him by threatening to circulate a video of him with a woman in a compromising position on the other end of a video call. The police found that the stolen money was transferred to various bank accounts in Haryana, Punjab and Maharashtra and these accounts were opened solely for receiveing fraudulent money as they lack the KYC(Know your customer) verification. ","IPC sections 383-385 Exortion - Whoever, in order to the committing of extortion, puts any person in fear, or attempts to put any person in fear, of any injury, shall be punished. Punishment = imprisonment of either description for a term which may extend to two years, or with fine, or with both. ",1
"After a video of a man performing dangerous stunts with his SUV on the Najaf garh-Rajouri Garden route went viral on social media, police have identified and seized the vehicle. The video, which was shot by another driver who also tried to warn the accused. The SUV driver also attempted to conceal the vehicle's identity by removing the number plates. Police scanned CCTV footage collected from nearby areas, identified the car and seized it. Earlier in Feb, another incident of negligent driving came to light where cars had obstructed traffic on the Vikaspuri flyover and used smoke cannisters. Five persons were apprehended.
","IPC sections of 279 (rash driving or riding on a public way) -Whoever drives any vehicle, or rides, on any public way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both. - Punishment:6 Months or Fine or Both",1
" A photographer was allegedly stabbed on the neck by a man near the India Gate on Tuesday. The alleged was taking pictures when the accused  approached him asking directions to the railway station. When he asked him to ask someone else, the accussed threatned him and left and later showed up from behind and stabbed his neck. ","IPC Section 307:Attempt to Murder - Whoever does any act with such intention or knowledge, and under such circumstances that, if he by that act caused death, he would be guilty of murder. Punishment: Imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; When any person offending under this section is under sentence of imprisonment for life, he may, if hurt is caused, be punished with death",1
"A dismissed Indian Air Force personnel was arrested by a team of UP Special Task Force in connection with the UP Police recruitment test paper leak in Feb. 
The accused, police said, would frequently visit the North Delhi coaching hub to recruit dummy candidates for various competitive exams. Pathak's job was to identify students from humble backgrounds but with good academic scores and convince them to write papers for others, police said. He would of fer them nearly Rs 1-1.5 lakh in exchange. On Tuesday, the STF and a police team from Sector 39 police station also searched Pathak's Arun Vihar residence and recovered a fake Air Force ID card, 38 bank cheques, four passbooks, 26 admit cards, 14 documents on police recruitment, twodi- aries, and a mobile phone.","IPC sections 463-465-Forgery - Whoever commits forgery shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",1
"A teenager, allegedly on a joyride with his friend, was responsible for Wednesday night's car crash that killed one person and injured nine others in Mayur Vihar Phase 3, police said on Thursday",IPC Section 295A - Violation of Religious Rights: Maliciously insulting the religions or the religious beliefs of any class. Punishment = 3 Years or Fine or Both,0
" A businessman in Ghaziabad who suffered massive losses during the pandemic allegedly killed his wife and son with a kitchen knife and slit his own throat at home in Kavi Nagar on Thursday. In one of the notes scribbled down in Feb, he said he wanted to die because of his mounting debt. Even on Thursday he wrote a note, saying he had given upon the struggle. He asked his family members to for give him and said he would kill his wife and son.","IPC sections of 279 (rash driving or riding on a public way) -Whoever drives any vehicle, or rides, on any public way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both. - Punishment:6 Months or Fine or Both",0
"Four members of a family in new Delhi, including two children, were killed and 11 others injured after a massive fire broke out at a four-storey resi dential building in Geeta Co- lony's Shastri Nagar early Thursday morning. Accor ding to police, an electrical spark between wires may ha- ve caused the blaze.","IPC sections 415-422 - Cheating : Whoever cheats and thereby dishonestly induces the person deceived to deliver any property to any person, or to make, alter or destroy the whole or any part of a valuable security, or anything which is signed or sealed, and which is capable of being converted into a valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine - Punishment 7 years or fine ",0
